financial_year,state,loan_type,housing_finance
2004-05,Total Australia,owner_occupier,20433.8
2004-05,New South Wales,owner_occupier,6743.6
2004-05,Victoria,owner_occupier,4690.2
2004-05,Queensland,owner_occupier,4284.8
2004-05,South Australia,owner_occupier,1396.1
2004-05,Western Australia,owner_occupier,2456.8
2004-05,Tasmania,owner_occupier,312.5
2004-05,Northern Territory,owner_occupier,230.7
2004-05,Australian Capital Territory,owner_occupier,323.6
2004-05,Total Australia,owner_occupier,21360.1
2004-05,New South Wales,owner_occupier,6959.1
2004-05,Victoria,owner_occupier,4887.5
2004-05,Queensland,owner_occupier,4518.6
2004-05,South Australia,owner_occupier,1550.5
2004-05,Western Australia,owner_occupier,2551.7
2004-05,Tasmania,owner_occupier,326.7
2004-05,Northern Territory,owner_occupier,256.3
2004-05,Australian Capital Territory,owner_occupier,328
2004-05,Total Australia,owner_occupier,20357.3
2004-05,New South Wales,owner_occupier,6208.4
2004-05,Victoria,owner_occupier,4581.7
2004-05,Queensland,owner_occupier,4668.7
2004-05,South Australia,owner_occupier,1546.5
2004-05,Western Australia,owner_occupier,2507.6
2004-05,Tasmania,owner_occupier,353.6
2004-05,Northern Territory,owner_occupier,225.3
2004-05,Australian Capital Territory,owner_occupier,317.7
2004-05,Total Australia,owner_occupier,22708.6
2004-05,New South Wales,owner_occupier,6987.2
2004-05,Victoria,owner_occupier,5480.5
2004-05,Queensland,owner_occupier,4814.6
2004-05,South Australia,owner_occupier,1606.6
2004-05,Western Australia,owner_occupier,2851.7
2004-05,Tasmania,owner_occupier,380.4
2004-05,Northern Territory,owner_occupier,268.7
2004-05,Australian Capital Territory,owner_occupier,363.7
2005-06,Total Australia,owner_occupier,23310
2005-06,New South Wales,owner_occupier,7368
2005-06,Victoria,owner_occupier,5288.3
2005-06,Queensland,owner_occupier,4984.5
2005-06,South Australia,owner_occupier,1576
2005-06,Western Australia,owner_occupier,3079.4
2005-06,Tasmania,owner_occupier,362.1
2005-06,Northern Territory,owner_occupier,316.9
2005-06,Australian Capital Territory,owner_occupier,363
2005-06,Total Australia,owner_occupier,24610.6
2005-06,New South Wales,owner_occupier,7548.2
2005-06,Victoria,owner_occupier,5641
2005-06,Queensland,owner_occupier,5398.4
2005-06,South Australia,owner_occupier,1695.2
2005-06,Western Australia,owner_occupier,3267.1
2005-06,Tasmania,owner_occupier,375.5
2005-06,Northern Territory,owner_occupier,338.6
2005-06,Australian Capital Territory,owner_occupier,395.4
2005-06,Total Australia,owner_occupier,23415.9
2005-06,New South Wales,owner_occupier,6728.9
2005-06,Victoria,owner_occupier,5026.1
