financial_year,state,wage_price_index
2004-05,New South Wales,84.7
2004-05,Victoria,84.8
2004-05,Queensland,83.2
2004-05,South Australia,84
2004-05,Western Australia,80.8
2004-05,Tasmania,83.9
2004-05,Northern Territory,83.6
2004-05,Australian Capital Territory,83.7
2004-05,Australia,84
2004-05,New South Wales,85.2
2004-05,Victoria,85.7
2004-05,Queensland,84.1
2004-05,South Australia,85.1
2004-05,Western Australia,81.9
2004-05,Tasmania,84.3
2004-05,Northern Territory,84.2
2004-05,Australian Capital Territory,85.2
2004-05,Australia,84.8
2004-05,New South Wales,86.4
2004-05,Victoria,86.6
2004-05,Queensland,84.8
2004-05,South Australia,85.7
2004-05,Western Australia,82.6
2004-05,Tasmania,85.5
2004-05,Northern Territory,85.7
2004-05,Australian Capital Territory,85.8
2004-05,Australia,85.7
2004-05,New South Wales,87.1
2004-05,Victoria,87.2
2004-05,Queensland,85.3
2004-05,South Australia,86.1
2004-05,Western Australia,83.4
2004-05,Tasmania,86.2
2004-05,Northern Territory,86.4
2004-05,Australian Capital Territory,86.4
2004-05,Australia,86.3
2005-06,New South Wales,88.3
2005-06,Victoria,88.2
2005-06,Queensland,86.6
2005-06,South Australia,87.2
2005-06,Western Australia,84.7
2005-06,Tasmania,87.4
2005-06,Northern Territory,87.4
2005-06,Australian Capital Territory,87.6
2005-06,Australia,87.5
2005-06,New South Wales,88.9
2005-06,Victoria,89
2005-06,Queensland,87.7
2005-06,South Australia,88.2
2005-06,Western Australia,85.3
2005-06,Tasmania,88
2005-06,Northern Territory,88.4
2005-06,Australian Capital Territory,88.4
2005-06,Australia,88.3
2005-06,New South Wales,89.9
2005-06,Victoria,89.8
2005-06,Queensland,88.7
2005-06,South Australia,88.8
2005-06,Western Australia,86.1
2005-06,Tasmania,89
2005-06,Northern Territory,89.1
2005-06,Australian Capital Territory,89.2
2005-06,Australia,89.2
2005-06,New South Wales,90.5
2005-06,Victoria,90.6
2005-06,Queensland,89.4
2005-06,South Australia,89.3
2005-06,Western Australia,87.2
2005-06,Tasmania,89.7
2005-06,Northern Territory,89.8
2005-06,Australian Capital Territory,89.8
2005-06,Australia,89.9
2006-07,New South Wales,91.6
2006-07,Victoria,91.3
2006-07,Queensland,90.5
2006-07,South Australia,90.4
2006-07,Western Australia,88.3
2006-07,Tasmania,91
2006-07,Northern Territory,91
2006-07,Australian Capital Territory,91.1
2006-07,Australia,90.9
2006-07,New South Wales,92.3
2006-07,Victoria,92.1
2006-07,Queensland,91.7
2006-07,South Australia,91.5
2006-07,Western Australia,89.3
2006-07,Tasmania,91.7
2006-07,Northern Territory,91.5
2006-07,Australian Capital Territory,91.9
2006-07,Australia,91.8
2006-07,New South Wales,93.3
2006-07,Victoria,93.1
2006-07,Queensland,92.7
2006-07,South Australia,92.6
2006-07,Western Australia,90.2
2006-07,Tasmania,93
2006-07,Northern Territory,92.5
2006-07,Australian Capital Territory,92.9
2006-07,Australia,92.8
2006-07,New South Wales,93.9
2006-07,Victoria,93.8
2006-07,Queensland,93.5
2006-07,South Australia,93.1
2006-07,Western Australia,91.7
2006-07,Tasmania,93.7
2006-07,Northern Territory,93.5
2006-07,Australian Capital Territory,93.6
2006-07,Australia,93.5
2007-08,New South Wales,95.2
2007-08,Victoria,94.7
2007-08,Queensland,94.6
2007-08,South Australia,94.8
2007-08,Western Australia,93.4
2007-08,Tasmania,94.7
2007-08,Northern Territory,94.2
2007-08,Australian Capital Territory,95
2007-08,Australia,94.8
2007-08,New South Wales,95.9
2007-08,Victoria,95.7
2007-08,Queensland,95.7
2007-08,South Australia,95.9
2007-08,Western Australia,94.6
2007-08,Tasmania,95.5
2007-08,Northern Territory,95.1
2007-08,Australian Capital Territory,96
2007-08,Australia,95.7
2007-08,New South Wales,96.8
2007-08,Victoria,96.6
2007-08,Queensland,96.5
2007-08,South Australia,96.8
2007-08,Western Australia,95.5
2007-08,Tasmania,96.3
2007-08,Northern Territory,95.9
2007-08,Australian Capital Territory,96.7
2007-08,Australia,96.6
2007-08,New South Wales,97.6
2007-08,Victoria,97.6
2007-08,Queensland,97.1
2007-08,South Australia,97.4
2007-08,Western Australia,96.8
2007-08,Tasmania,97.1
2007-08,Northern Territory,97.5
2007-08,Australian Capital Territory,97.3
2007-08,Australia,97.5
2008-09,New South Wales,98.7
2008-09,Victoria,98.7
2008-09,Queensland,98.6
2008-09,South Australia,98.5
2008-09,Western Australia,98.1
2008-09,Tasmania,98.5
2008-09,Northern Territory,98.3
2008-09,Australian Capital Territory,98.6
2008-09,Australia,98.6
2008-09,New South Wales,99.7
2008-09,Victoria,99.8
2008-09,Queensland,99.6
2008-09,South Australia,99.9
2008-09,Western Australia,99.9
2008-09,Tasmania,99.6
2008-09,Northern Territory,99.7
2008-09,Australian Capital Territory,99.5
2008-09,Australia,99.8
2008-09,New South Wales,100.5
2008-09,Victoria,100.5
2008-09,Queensland,100.6
2008-09,South Australia,100.6
2008-09,Western Australia,100.7
2008-09,Tasmania,100.7
2008-09,Northern Territory,100.8
2008-09,Australian Capital Territory,100.6
2008-09,Australia,100.5
2008-09,New South Wales,101.2
2008-09,Victoria,101
2008-09,Queensland,101.1
2008-09,South Australia,101
2008-09,Western Australia,101.3
2008-09,Tasmania,101.2
2008-09,Northern Territory,101.2
2008-09,Australian Capital Territory,101.3
2008-09,Australia,101.1
2009-10,New South Wales,102.2
2009-10,Victoria,101.7
2009-10,Queensland,102.1
2009-10,South Australia,101.7
2009-10,Western Australia,102.1
2009-10,Tasmania,102.6
2009-10,Northern Territory,101.9
2009-10,Australian Capital Territory,102.3
2009-10,Australia,102
2009-10,New South Wales,102.6
2009-10,Victoria,102.5
2009-10,Queensland,102.8
2009-10,South Australia,102.3
2009-10,Western Australia,102.9
2009-10,Tasmania,103.3
2009-10,Northern Territory,103.1
2009-10,Australian Capital Territory,103.2
2009-10,Australia,102.7
2009-10,New South Wales,103.6
2009-10,Victoria,103.2
2009-10,Queensland,103.7
2009-10,South Australia,103.2
2009-10,Western Australia,103.7
2009-10,Tasmania,104.3
2009-10,Northern Territory,103.9
2009-10,Australian Capital Territory,104
2009-10,Australia,103.6
2009-10,New South Wales,104.2
2009-10,Victoria,103.7
2009-10,Queensland,104.4
2009-10,South Australia,103.9
2009-10,Western Australia,104.7
2009-10,Tasmania,104.9
2009-10,Northern Territory,104.6
2009-10,Australian Capital Territory,104.3
2009-10,Australia,104.2
2010-11,New South Wales,105.8
2010-11,Victoria,105.3
2010-11,Queensland,106.1
2010-11,South Australia,105.1
2010-11,Western Australia,106
2010-11,Tasmania,105.9
2010-11,Northern Territory,105.9
2010-11,Australian Capital Territory,106.2
2010-11,Australia,105.7
2010-11,New South Wales,106.5
2010-11,Victoria,106.2
2010-11,Queensland,107.1
2010-11,South Australia,106.3
2010-11,Western Australia,107
2010-11,Tasmania,106.7
2010-11,Northern Territory,107
2010-11,Australian Capital Territory,107
2010-11,Australia,106.6
2010-11,New South Wales,107.6
2010-11,Victoria,107.2
2010-11,Queensland,107.7
2010-11,South Australia,106.9
2010-11,Western Australia,108
2010-11,Tasmania,107.9
2010-11,Northern Territory,108.3
2010-11,Australian Capital Territory,107.7
2010-11,Australia,107.6
2010-11,New South Wales,108.2
2010-11,Victoria,107.9
2010-11,Queensland,108.4
2010-11,South Australia,107.3
2010-11,Western Australia,108.7
2010-11,Tasmania,108.6
2010-11,Northern Territory,108.7
2010-11,Australian Capital Territory,107.9
2010-11,Australia,108.2
2011-12,New South Wales,109.5
2011-12,Victoria,109
2011-12,Queensland,110
2011-12,South Australia,108.6
2011-12,Western Australia,110.2
2011-12,Tasmania,110
2011-12,Northern Territory,109.9
2011-12,Australian Capital Territory,109.3
2011-12,Australia,109.5
2011-12,New South Wales,110.5
2011-12,Victoria,110
2011-12,Queensland,111
2011-12,South Australia,109.8
2011-12,Western Australia,111.2
2011-12,Tasmania,110.5
2011-12,Northern Territory,111.5
2011-12,Australian Capital Territory,110.1
2011-12,Australia,110.5
2011-12,New South Wales,111.4
2011-12,Victoria,110.8
2011-12,Queensland,111.7
2011-12,South Australia,110.5
2011-12,Western Australia,112.9
2011-12,Tasmania,111.4
2011-12,Northern Territory,112
2011-12,Australian Capital Territory,111.3
2011-12,Australia,111.4
2011-12,New South Wales,112
2011-12,Victoria,111.7
2011-12,Queensland,112.5
2011-12,South Australia,111
2011-12,Western Australia,113.9
2011-12,Tasmania,112.1
2011-12,Northern Territory,112.5
2011-12,Australian Capital Territory,112.2
2011-12,Australia,112.2
2012-13,New South Wales,113.5
2012-13,Victoria,112.8
2012-13,Queensland,113.6
2012-13,South Australia,112.5
2012-13,Western Australia,115.2
2012-13,Tasmania,113.6
2012-13,Northern Territory,113.9
2012-13,Australian Capital Territory,114
2012-13,Australia,113.5
2012-13,New South Wales,114
2012-13,Victoria,113.9
2012-13,Queensland,114.4
2012-13,South Australia,113.2
2012-13,Western Australia,116
2012-13,Tasmania,114.2
2012-13,Northern Territory,115.1
2012-13,Australian Capital Territory,114.8
2012-13,Australia,114.3
2012-13,New South Wales,114.6
2012-13,Victoria,114.4
2012-13,Queensland,115.1
2012-13,South Australia,114.2
2012-13,Western Australia,117.1
2012-13,Tasmania,115
2012-13,Northern Territory,115.7
2012-13,Australian Capital Territory,115.1
2012-13,Australia,115
2012-13,New South Wales,115.1
2012-13,Victoria,115
2012-13,Queensland,115.6
2012-13,South Australia,114.7
2012-13,Western Australia,117.8
2012-13,Tasmania,115.4
2012-13,Northern Territory,116.1
2012-13,Australian Capital Territory,115.5
2012-13,Australia,115.5
2013-14,New South Wales,116.1
2013-14,Victoria,116.1
2013-14,Queensland,116.7
2013-14,South Australia,116.3
2013-14,Western Australia,118.9
2013-14,Tasmania,116.4
2013-14,Northern Territory,117.1
2013-14,Australian Capital Territory,117
2013-14,Australia,116.6
2013-14,New South Wales,116.8
2013-14,Victoria,116.7
2013-14,Queensland,117.3
2013-14,South Australia,117.2
2013-14,Western Australia,119.5
2013-14,Tasmania,116.7
2013-14,Northern Territory,117.8
2013-14,Australian Capital Territory,117.5
2013-14,Australia,117.2
2013-14,New South Wales,117.6
2013-14,Victoria,117.5
2013-14,Queensland,118.1
2013-14,South Australia,117.9
2013-14,Western Australia,120.2
2013-14,Tasmania,117.6
2013-14,Northern Territory,118.9
2013-14,Australian Capital Territory,117.7
2013-14,Australia,118
2013-14,New South Wales,118
2013-14,Victoria,118.2
2013-14,Queensland,118.6
2013-14,South Australia,118.2
2013-14,Western Australia,120.6
2013-14,Tasmania,118
2013-14,Northern Territory,119.3
2013-14,Australian Capital Territory,118.1
2013-14,Australia,118.5
2014-15,New South Wales,119.1
2014-15,Victoria,119.2
2014-15,Queensland,119.6
2014-15,South Australia,119.4
2014-15,Western Australia,121.5
2014-15,Tasmania,119.3
2014-15,Northern Territory,120.4
2014-15,Australian Capital Territory,119
2014-15,Australia,119.5
2014-15,New South Wales,119.6
2014-15,Victoria,120
2014-15,Queensland,120.3
2014-15,South Australia,120.2
2014-15,Western Australia,122.3
2014-15,Tasmania,119.6
2014-15,Northern Territory,121.1
2014-15,Australian Capital Territory,119.5
2014-15,Australia,120.2
2014-15,New South Wales,120.1
2014-15,Victoria,120.5
2014-15,Queensland,120.8
2014-15,South Australia,120.9
2014-15,Western Australia,122.7
2014-15,Tasmania,120.3
2014-15,Northern Territory,121.7
2014-15,Australian Capital Territory,119.8
2014-15,Australia,120.7
2014-15,New South Wales,120.5
2014-15,Victoria,121.3
2014-15,Queensland,121.1
2014-15,South Australia,121.1
2014-15,Western Australia,123.1
2014-15,Tasmania,120.9
2014-15,Northern Territory,122.2
2014-15,Australian Capital Territory,120.3
2014-15,Australia,121.2
2015-16,New South Wales,121.7
2015-16,Victoria,122.3
2015-16,Queensland,122
2015-16,South Australia,122.2
2015-16,Western Australia,123.9
2015-16,Tasmania,122.1
2015-16,Northern Territory,123.3
2015-16,Australian Capital Territory,120.9
2015-16,Australia,122.2
2015-16,New South Wales,122.1
2015-16,Victoria,122.9
2015-16,Queensland,122.6
2015-16,South Australia,123
2015-16,Western Australia,124.5
2015-16,Tasmania,122.2
2015-16,Northern Territory,124
2015-16,Australian Capital Territory,121.4
2015-16,Australia,122.7
2015-16,New South Wales,122.6
2015-16,Victoria,123.4
2015-16,Queensland,123.1
2015-16,South Australia,123.5
2015-16,Western Australia,125.1
2015-16,Tasmania,123
2015-16,Northern Territory,124.3
2015-16,Australian Capital Territory,122
2015-16,Australia,123.2
2015-16,New South Wales,123.1
2015-16,Victoria,123.9
2015-16,Queensland,123.4
2015-16,South Australia,123.8
2015-16,Western Australia,125.3
2015-16,Tasmania,123.5
2015-16,Northern Territory,124.6
2015-16,Australian Capital Territory,122.6
2015-16,Australia,123.7
2016-17,New South Wales,124.2
